action_type,priority,tier,quality_score,evidence_class,latency_sla_hours,resource_id,why_it_matters,query_hint,enabled
all,1,T1,1.00,canonical,6,gov_actions_all_snapshot,Primary action snapshot,action_id exact match,true
all,1,T1,0.95,risk,6,gov_action_flags_snapshot,Risk signals and caveats,action_id exact match,true
all,2,T2,0.90,context,6,gov_actions_active_snapshot,Current active-state context,status=active,true
treasury_withdrawal,1,T1,1.00,canonical,6,gov_treasury_recipients_snapshot,Recipient-level fund tracing,action_id exact match,true
treasury_withdrawal,2,T3,0.75,comparative,24,top_drep_votes_snapshot,Peer vote context for treasury items,action_id exact match,true
parameter_change,1,T1,1.00,canonical,6,gov_actions_all_snapshot,Parameter intent and epochs,action_id exact match,true
hardfork,1,T1,1.00,canonical,6,gov_actions_all_snapshot,Hard-fork proposal metadata,action_id exact match,true
info_action,2,T2,0.85,context,12,gov_actions_all_snapshot,General governance context,action_id exact match,true
new_constitution,1,T1,1.00,canonical,6,gov_actions_all_snapshot,Constitution action context,action_id exact match,true
new_committee,1,T1,1.00,canonical,6,gov_actions_all_snapshot,Committee action context,action_id exact match,true
